"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Senna","ADC",17,"7.9%","11.6%","20.5%","76%","53%",73,25,145,8.7,"79.6%","16.9%","41%",-340,-379,-58,3.3,"13.1%",595,"26.0%","19.2%",1.28,0.52
"Senna","Support",2,"0.9%","11.6%","20.5%","0%","0%",4,8,14,2.3,"75.0%","20.0%","50%",227,-67,-2,1.3,"5.1%",372,"16.9%","12.7%",1.44,0.4
"Seraphine","Middle",19,"8.8%","49.8%","63.3%","58%","0%",45,37,179,6.1,"80.6%","17.4%","16%",-135,-190,-7.4,7.6,"20.6%",334,"17.4%","20.0%",0.47,0.21
"Seraphine","Support",10,"4.7%","49.8%","63.3%","50%","60%",6,26,98,4,"84.6%","20.8%","30%",91,109,-12.1,1,"4.1%",257,"12.6%","10.7%",1.5,0.45
"Sett","Middle",8,"3.7%","10.2%","23.7%","38%","88%",17,25,62,3.2,"63.2%","22.3%","25%",-297,-400,-15.6,6.6,"18.7%",366,"17.5%","19.8%",0.36,0.28
"Sett","Support",17,"7.9%","10.2%","23.7%","29%","65%",20,63,77,1.5,"57.7%","27.9%","35%",158,71,5.1,1.7,"4.0%",155,"9.4%","9.1%",1.68,0.5
"Sett","Top",4,"1.9%","10.2%","23.7%","25%","75%",6,20,16,1.1,"50.0%","31.3%","75%",219,-133,-2,6.3,"17.1%",433,"22.6%","18.2%",0.4,0.14
"Shen","Support",3,"1.4%","0.5%","2.3%","33%","67%",6,9,23,3.2,"70.7%","22.0%","100%",317,344,1.7,1.4,"3.4%",121,"7.1%","9.5%",2.21,0.5
"Shen","Top",1,"0.5%","0.5%","2.3%","0%","100%",1,5,1,0.4,"50.0%","26.3%","0%",-575,-390,-29,6.3,"22.0%",352,"20.3%","18.4%",0.37,0.11
"Sion","Middle",5,"2.3%","9.8%","33.5%","40%","60%",7,13,25,2.5,"60.4%","18.6%","0%",-186,-210,-5.4,8.3,"21.9%",332,"18.1%","21.6%",0.39,0.36
"Sion","Top",46,"21.4%","9.8%","33.5%","54%","50%",62,107,309,3.5,"63.9%","19.7%","15%",-327,-159,-9.5,7.1,"20.1%",415,"21.0%","18.5%",0.43,0.2
"Sivir","ADC",1,"0.5%","0.0%","0.5%","0%","100%",2,3,3,1.7,"62.5%","20.0%","0%",26,126,0,9.2,"31.6%",460,"25.4%","27.6%",0.5,0.2
"Skarner","Jungle",4,"1.9%","2.3%","4.2%","25%","75%",2,17,22,1.4,"64.9%","25.0%","25%",-710,-492,-4.3,4.6,"11.8%",140,"7.1%","14.1%",0.4,0.42
"Sylas","Middle",2,"0.9%","3.3%","7.0%","50%","100%",7,5,7,2.8,"82.4%","16.1%","50%",-290,366,1,9.1,"26.4%",328,"17.7%","25.5%",0.32,0.23
"Sylas","Top",6,"2.8%","3.3%","7.0%","50%","100%",10,18,26,2,"67.9%","21.7%","67%",-176,-17,-7.5,7.5,"23.1%",424,"24.6%","21.1%",0.37,0.13
"Syndra","Middle",83,"38.6%","22.8%","61.4%","52%","47%",196,181,382,3.2,"58.3%","17.3%","17%",-4,-61,1.5,8.8,"25.2%",471,"25.8%","22.4%",0.48,0.18
"Tahm Kench","ADC",1,"0.5%","1.9%","7.4%","0%","100%",2,4,6,2,"57.1%","26.7%","100%",-554,2,-16,6,"17.4%",228,"10.0%","16.0%",0.36,0.26
"Tahm Kench","Support",11,"5.1%","1.9%","7.4%","64%","45%",10,21,90,4.8,"68.5%","21.9%","36%",624,397,46,4.6,"11.7%",206,"9.0%","13.9%",0.75,0.19
"Taliyah","Jungle",19,"8.8%","39.5%","48.4%","89%","16%",69,45,129,4.4,"61.1%","26.9%","47%",127,17,-0.9,6.8,"18.5%",364,"18.7%","19.1%",0.87,0.53
"Thresh","Support",44,"20.5%","40.0%","60.5%","57%","23%",24,117,362,3.3,"74.7%","23.8%","23%",-28,-13,2.1,1.1,"2.2%",93,"5.1%","8.5%",1.74,0.39
"Tristana","ADC",35,"16.3%","13.5%","30.2%","49%","43%",126,69,130,3.7,"69.4%","17.6%","31%",96,153,3.7,9.9,"31.6%",428,"25.1%","27.8%",0.81,0.46
"Tristana","Middle",1,"0.5%","13.5%","30.2%","0%","100%",5,6,1,1,"33.3%","25.0%","0%",551,233,11,9,"30.4%",573,"22.1%","25.6%",0.4,0.29
"Trundle","Jungle",1,"0.5%","0.0%","0.5%","0%","100%",4,7,4,1.1,"66.7%","41.2%","0%",371,54,-5,4.8,"15.7%",271,"13.3%","20.7%",0.23,0.59
"Twisted Fate","Middle",14,"6.5%","19.1%","25.6%","21%","64%",31,31,83,3.7,"68.7%","14.4%","36%",451,-146,-1.6,8.6,"25.1%",441,"24.2%","25.9%",0.39,0.26
"Udyr","Jungle",66,"30.7%","39.1%","69.8%","53%","35%",129,130,477,4.7,"72.3%","16.7%","21%",26,115,2.9,6.3,"16.3%",222,"11.4%","18.5%",0.4,0.69
"Varus","ADC",4,"1.9%","0.5%","2.3%","75%","50%",13,8,33,5.8,"69.7%","16.0%","25%",-42,-159,-5.3,8.3,"25.9%",848,"31.8%","23.0%",0.54,0.31
"Vayne","ADC",8,"3.7%","0.0%","3.7%","50%","100%",31,19,25,2.9,"60.9%","20.2%","13%",-206,-77,-5.5,9.1,"29.1%",357,"20.4%","25.9%",0.42,0.43
"Veigar","Middle",1,"0.5%","0.0%","0.5%","0%","100%",3,4,1,1,"44.4%","25.0%","0%",289,-344,6,8.1,"22.2%",482,"28.2%","23.5%",0.49,0.32
"Viktor","Middle",52,"24.2%","9.8%","34.0%","48%","69%",157,113,280,3.9,"65.9%","16.9%","10%",-98,-78,-2.9,9.1,"26.6%",631,"31.8%","24.1%",0.51,0.24
"Vladimir","Top",1,"0.5%","0.0%","0.5%","0%","100%",0,2,0,0,"0.0%","18.2%","0%",-181,225,-2,9.7,"26.6%",186,"23.3%","22.9%",0.52,0.18
"Volibear","Jungle",1,"0.5%","2.8%","7.9%","100%","100%",2,0,11,13,"52.0%","0.0%","0%",-153,-81,-3,6,"19.0%",312,"11.9%","16.7%",0.44,0.32
"Volibear","Top",10,"4.7%","2.8%","7.9%","50%","90%",15,28,42,2,"60.6%","27.2%","10%",-487,-315,-6.4,7.4,"21.3%",350,"21.3%","20.5%",0.35,0.25
"Wukong","Top",3,"1.4%","0.0%","1.4%","33%","33%",6,15,24,2,"66.7%","30.0%","33%",-435,-426,-21.7,6.8,"20.3%",327,"18.5%","19.1%",0.38,0.27
"Xayah","ADC",40,"18.6%","5.1%","23.7%","58%","95%",140,85,172,3.7,"63.8%","18.4%","15%",-82,27,-3.4,9.9,"32.2%",493,"25.9%","26.9%",0.46,0.4
"Yone","Middle",10,"4.7%","16.3%","20.9%","60%","30%",27,15,53,5.3,"63.0%","15.8%","20%",91,169,0,9.7,"27.3%",408,"23.7%","24.6%",0.45,0.31
"Yuumi","Support",2,"0.9%","0.0%","0.9%","0%","50%",0,9,8,0.9,"80.0%","20.9%","0%",-883,-859,-64,0.3,"1.2%",222,"12.7%","7.3%",1.37,0.14
"Zilean","Middle",3,"1.4%","0.0%","1.4%","67%","100%",5,3,29,11.3,"73.9%","9.7%","33%",122,494,3.7,8.2,"22.5%",445,"20.6%","21.9%",0.39,0.25
"Zoe","Middle",50,"23.3%","16.3%","39.5%","52%","46%",137,69,286,6.1,"70.0%","12.4%","28%",90,68,1.7,8.6,"24.3%",540,"29.0%","23.1%",0.45,0.22
